t_ms,x_g,y_g,z_g
380.676,0.99,-0.04,-0.01
381.266,0.99,-0.04,0.0
381.813,1.0,-0.03,-0.01
382.403,1.0,-0.03,0.0
382.965,1.0,-0.05,-0.03
383.556,0.99,-0.03,-0.0
384.146,0.99,-0.04,-0.01
384.737,1.0,-0.06,-0.01
385.328,1.0,-0.05,0.02
385.889,1.0,-0.04,0.02
386.452,1.0,-0.04,-0.0
387.042,0.99,-0.05,-0.0
387.632,1.0,-0.04,0.01
388.193,0.99,-0.04,0.0
388.755,0.95,-0.03,0.0
389.317,1.0,-0.06,-0.03
389.908,0.99,-0.05,0.0
390.470,0.99,-0.03,-0.0
391.060,0.99,-0.04,-0.02
391.650,0.99,-0.05,-0.02
392.240,1.0,-0.05,-0.05
392.831,1.0,-0.05,0.05
393.393,0.97,-0.03,-0.0
393.983,1.0,-0.03,0.0
394.494,1.0,-0.07,-0.01
395.061,1.0,-0.07,-0.0
395.597,0.98,-0.04,-0.02
396.153,1.0,-0.08,0.0
396.715,0.99,-0.03,-0.01
397.305,1.0,-0.04,-0.02
397.896,1.0,-0.05,-0.0
398.486,0.99,-0.04,-0.0
399.077,1.0,-0.04,0.01
399.639,0.98,-0.06,-0.02
400.229,0.99,-0.04,-0.01
400.820,0.99,-0.04,0.0
401.382,1.0,-0.03,0.0
401.944,0.99,-0.06,-0.01
402.534,0.99,-0.05,-0.0
403.125,0.99,-0.04,0.01
403.687,0.96,-0.06,-0.0
404.277,0.97,-0.01,-0.0
404.868,1.0,-0.08,0.02
405.430,0.99,-0.04,-0.03
406.020,0.99,-0.03,-0.0
406.595,1.0,-0.03,-0.01
407.185,0.99,-0.05,-0.01
407.776,0.99,-0.05,0.0
408.338,0.99,-0.05,0.01
408.900,0.99,-0.05,0.01
409.462,0.97,-0.04,-0.04
410.052,0.99,-0.07,-0.01
410.643,1.0,-0.06,0.0
411.205,0.99,-0.03,-0.0
411.795,0.97,-0.05,0.0
412.356,1.0,-0.07,-0.01
412.947,0.99,-0.05,0.02
413.509,1.0,-0.04,-0.02
414.099,1.0,-0.07,-0.02
414.690,0.99,-0.04,-0.01
415.280,1.0,-0.04,-0.01
415.870,0.99,-0.04,0.03
416.432,1.0,-0.05,-0.02
